Date,timestamp,Temp Out,Hi Temp,Low Temp,Out Hum,Dew Pt.,Wind Speed,Wind Dir,Wind Run,Hi Speed,Hi Dir,Wind Chill,Bar,Rain,Rain Rate,In Temp,In Hum,In Dew,Wind Samp,Arc.Int.,dew_point_outside_high,dew_point_outside_low,heat_index_inside,heat_index_outside,heat_index_outside_high,heat_index_outside_low,minutes_past_midnight,rain_amount_clicks,rain_collector_type,rain_rate_clicks,temperature_outside_F,temperature_wet_bulb,temperature_wet_bulb_high,temperature_wet_bulb_low,thw_index,thw_index_high,thw_index_low,wind_chill_high,wind_chill_low,wind_direction_prevailing_degrees,wind_direction_speed_high_degrees
2024-09-05 00:00:00,1725483600,14.33333333333333333333333333,14.77777777777777777777777778,14.33333333333333333333333333,67.0,46.8,0.89,E,0.80,4.00,ESE,,777.52,0.00,0.00,26.61,41.0,21.80,350,15,47.6,46.8,79.8,,,,1440,0,inches_0_01,0,57.8,52.2,52.9,52.2,,,,,,90.00,112.50
2024-09-05 00:15:00,1725484500,14.11111111111111111111111111,14.33333333333333333333333333,14.11111111111111111111111111,67.0,46.5,0.89,ESE,0.80,4.89,E,,777.52,0.00,0.00,26.61,40.0,21.10,348,15,46.8,46.5,79.7,,,,15,0,inches_0_01,0,57.4,51.8,52.2,51.8,,,,,,112.50,90.00
2024-09-05 00:30:00,1725485400,13.83333333333333333333333333,14.11111111111111111111111111,13.83333333333333333333333333,68.0,46.4,0.44,NNE,0.40,4.00,N,,777.57,0.00,0.00,26.50,40.0,21.00,349,15,46.8,46.4,79.5,,,,30,0,inches_0_01,0,56.9,51.6,52.0,51.6,,,,,,22.50,360.00
2024-09-05 00:45:00,1725486300,13.61111111111111111111111111,13.83333333333333333333333333,13.61111111111111111111111111,68.0,46.0,0.44,NNE,0.40,2.67,ESE,,777.72,0.00,0.00,26.50,40.0,21.00,349,15,46.4,46.0,79.5,,,,45,0,inches_0_01,0,56.5,51.2,51.6,51.2,,,,,,22.50,112.50
2024-09-05 01:00:00,1725487200,13.44444444444444444444444444,13.61111111111111111111111111,13.44444444444444444444444444,68.0,45.7,0.44,ENE,0.40,2.67,ESE,,777.70,0.00,0.00,26.44,40.0,20.90,350,15,46.0,45.7,79.4,,,,60,0,inches_0_01,0,56.2,50.9,51.2,50.9,,,,,,67.50,112.50
2024-09-05 01:15:00,1725488100,13.33333333333333333333333333,13.44444444444444444444444444,13.27777777777777777777777778,68.0,45.5,0.89,E,0.80,3.11,E,,777.80,0.00,0.00,26.39,40.0,20.80,352,15,45.7,45.4,79.3,,,,75,0,inches_0_01,0,56.0,50.8,50.9,50.7,,,,,,90.00,90.00
2024-09-05 01:30:00,1725489000,13.44444444444444444444444444,13.5,13.27777777777777777777777778,68.0,45.7,0.89,E,0.80,4.00,E,,777.90,0.00,0.00,26.33,40.0,20.70,350,15,45.8,45.4,79.2,,,,90,0,inches_0_01,0,56.2,50.9,51.0,50.7,,,,,,90.00,90.00
2024-09-05 01:45:00,1725489900,13.38888888888888888888888889,13.5,13.38888888888888888888888889,68.0,45.6,0.89,E,0.80,3.11,ESE,,778.03,0.00,0.00,26.28,40.0,20.60,350,15,45.8,45.6,79.1,,,,105,0,inches_0_01,0,56.1,50.8,51.0,50.8,,,,,,90.00,112.50
2024-09-05 02:00:00,1725490800,13.27777777777777777777777778,13.38888888888888888888888889,13.22222222222222222222222222,69.0,45.8,0.44,NE,0.40,2.67,E,,778.08,0.00,0.00,26.22,40.0,20.50,350,15,46.0,45.7,79.0,,,,120,0,inches_0_01,0,55.9,50.8,51.0,50.7,,,,,,45.00,90.00
2024-09-05 02:15:00,1725491700,13.05555555555555555555555556,13.22222222222222222222222222,13.05555555555555555555555556,69.0,45.4,0.44,ENE,0.40,4.00,ESE,,778.05,0.00,0.00,26.22,40.0,20.50,351,15,45.7,45.4,79.0,,,,135,0,inches_0_01,0,55.5,50.5,50.7,50.5,,,,,,67.50,112.50
2024-09-05 02:30:00,1725492600,12.77777777777777777777777778,13.05555555555555555555555556,12.77777777777777777777777778,70.0,45.3,0.44,N,0.40,1.33,NNE,,778.10,0.00,0.00,26.17,40.0,20.40,350,15,45.8,45.3,78.9,,,,150,0,inches_0_01,0,55.0,50.2,50.6,50.2,,,,,,360.00,22.50
2024-09-05 02:45:00,1725493500,12.83333333333333333333333333,12.83333333333333333333333333,12.72222222222222222222222222,70.0,45.4,0.44,NNE,0.40,3.11,ESE,,778.10,0.00,0.00,26.11,40.0,20.40,351,15,45.4,45.2,78.8,,,,165,0,inches_0_01,0,55.1,50.3,50.3,50.1,,,,,,22.50,112.50
2024-09-05 03:00:00,1725494400,12.72222222222222222222222222,12.83333333333333333333333333,12.66666666666666666666666667,71.0,45.6,0.89,E,0.80,4.00,E,,778.21,0.00,0.00,26.06,40.0,20.30,350,15,45.8,45.5,78.7,,,,180,0,inches_0_01,0,54.9,50.2,50.4,50.2,,,,,,90.00,90.00
2024-09-05 03:15:00,1725495300,12.77777777777777777777777778,12.83333333333333333333333333,12.72222222222222222222222222,71.0,45.7,0.89,E,0.80,3.11,E,,778.26,0.00,0.00,26.06,40.0,20.30,350,15,45.8,45.6,78.7,,,,195,0,inches_0_01,0,55.0,50.3,50.4,50.3,,,,,,90.00,90.00
2024-09-05 03:30:00,1725496200,12.55555555555555555555555556,12.77777777777777777777777778,12.55555555555555555555555556,72.0,45.7,0.44,ESE,0.40,2.67,ESE,,778.26,0.00,0.00,26.06,40.0,20.30,352,15,46.1,45.7,78.7,,,,210,0,inches_0_01,0,54.6,50.1,50.5,50.1,,,,,,112.50,112.50
2024-09-05 03:45:00,1725497100,12.27777777777777777777777778,12.55555555555555555555555556,12.27777777777777777777777778,72.0,45.2,0.00,NNE,,0.89,NE,,778.28,0.00,0.00,26.06,39.0,19.60,350,15,45.7,45.2,78.7,,,,225,0,inches_0_01,0,54.1,49.7,50.1,49.7,,,,,,22.50,45.00
2024-09-05 04:00:00,1725498000,11.94444444444444444444444444,12.27777777777777777777777778,11.94444444444444444444444444,74.0,45.4,0.44,ENE,0.40,1.33,ESE,,778.38,0.00,0.00,26.00,39.0,19.50,351,15,45.9,45.4,78.6,,,,240,0,inches_0_01,0,53.5,49.4,50.0,49.4,,,,,,67.50,112.50
2024-09-05 04:15:00,1725498900,11.83333333333333333333333333,12.0,11.83333333333333333333333333,75.0,45.5,0.00,E,,1.33,ESE,,778.33,0.00,0.00,25.94,39.0,19.40,349,15,45.8,45.5,78.5,,,,255,0,inches_0_01,0,53.3,49.4,49.7,49.4,,,,,,90.00,112.50
